,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
1493,Ergos,2012.0,Samastipur,Information Technology,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A,2020,Tech
1494,Krishitantra,2017.0,Hyderabad,Information Technology,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000.0,Seed,2020,Non-tech
1496,Monet Networks,2014.0,Irvine,Information Technology,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"SenseAI Ventures, EvoNexus",500000.0,Others,2020,Tech
1499,NirogStreet,2016.0,Gurugram,Information Technology,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000.0,Pre series,2020,Non-tech
1502,Fanball XI,,New Delhi,Consumer Discretionary,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,1000000.0,Seed,2020,Non-tech
1503,Treebo Hotels,2015.0,Bangalore,Health Care,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0,Unstated,2020,Non-tech
1504,GPS Renewables,2010.0,Bangalore,Information Technology,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian",3000000.0,Series A,2020,Non-tech
1505,Public,2019.0,New Delhi,Communication Services,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",30000000.0,Unstated,2020,Non-tech
1506,Legal Salah,2015.0,Kolkata,Information Technology,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,1000000.0,Seed,2020,Non-tech
1508,ECOSTP,2017.0,Bangalore,Utilities,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,19000000.0,Unstated,2020,Non-tech
1509,Coralogix,2013.0,San Francisco,Information Technology,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000.0,Series B,2020,Tech
1510,Equiwatt,2015.0,Newcastle Upon Tyne,Information Technology,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",Rising Stars,300000.0,Unstated,2020,Tech
1511,Reliance Retail Ventures,2006.0,Mumbai,Consumer Discretionary,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts",800000000.0,Unstated,2020,Tech
1512,Zhangmen,2005.0,Shanghai,Information Technology,Zhangmen is an online tutoring platform provides tutoring courses to students.,Yi Zhang,"CICC Alpha, VMS Asset Management",400000000.0,Unstated,2020,Tech
1513,AgroWave,2017.0,Gurugram,Information Technology,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,500000.0,Unstated,2020,Tech
1514,Sapio Analytics,2018.0,Mumbai,Information Technology,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",,150000.0,Unstated,2020,Tech
1515,Taimei,2013.0,Jiaxing,Health Care,Taimei Technology provides a cloud platform for clinical research collaboration.,Lu Zhao,"Cowin Venture, ZSVC",176000000.0,Unstated,2020,Non-tech
1516,Avanse Financial Services,2012.0,Mumbai,Information Technology,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",Amit Gainda,International Finance Corporation,15000000.0,Unstated,2020,Tech
1517,Industry Buying,2013.0,New Delhi,Consumer Discretionary,India's largest industrial ecommerce platform,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT",15000000.0,Unstated,2020,Tech
1518,Hopscotch,2011.0,Mumbai,Consumer Discretionary,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",Rahul Anand,"Marc Lore, Rise Capital",25000000.0,Unstated,2020,Tech
1519,Pristyn Care,2018.0,Gurugram,Health Care,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",11000000.0,Unstated,2020,Non-tech
1520,WoodenStreet,2015.0,Rajastan,Information Technology,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund",1000000.0,Unstated,2020,Non-tech
1521,ACKO,2016.0,Mumbai,Information Technology,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures",60000000.0,Unstated,2020,Tech
1522,Farmers Fresh Zone,2015.0,Kochi,Information Technology,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",470000.0,Unstated,2020,Tech
1524,Infurnia,2014.0,Bangalore,Information Technology,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",240000.0,Unstated,2020,Tech
1526,Snowflake,2012.0,California,Information Technology,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group",3000000000.0,Unstated,2020,Tech
1527,GenieTalk,2016.0,Indore,Information Technology,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",,750000.0,Unstated,2020,Tech
1528,Classplus,2018.0,Noida,Information Technology,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",10000000.0,Unstated,2020,Tech
1529,Mobile Premier League,2018.0,Bangalore,Communication Services,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",74000000.0,Unstated,2020,Non-tech
1530,Fourth Partner Energy,2010.0,Hyderabad,Energy,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",16000000.0,Unstated,2020,Non-tech
1531,Flipkart,2007.0,Bangalore,Consumer Discretionary,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",62000000.0,Unstated,2020,Tech
1532,Vivriti Capital,2017.0,Chennai,Information Technology,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",1000000.0,Unstated,2020,Tech
1533,InsuranceDekho,2017.0,Ludhiana,Information Technology,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,20000000.0,Unstated,2020,Tech
1534,BestDoc,2016.0,Kochi,Health Care,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",,2100000.0,Unstated,2020,Non-tech
1535,Byju’s,2011.0,Bangalore,Information Technology,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000.0,Unstated,2020,Tech
1536,Melorra,2015.0,Bangalore,Consumer Discretionary,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0,Unstated,2020,Non-tech
1537,Reliance,1973.0,Mumbai,Consumer Discretionary,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake",2200000000.0,Unstated,2020,Non-tech
1538,Inflexor Ventures,2020.0,Mumbai,Information Technology,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",,10000000.0,Unstated,2020,Tech
1539,Pandorum,2011.0,Bangalore,Information Technology,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,Unstated,2020,Non-tech
1543,Dream11,2008.0,Mumbai,Communication Services,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",225000000.0,Unstated,2020,Non-tech
1544,SignalX,2018.0,Hyderabad,Information Technology,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,,750000.0,Unstated,2020,Non-tech
1545,JetSynthesys,2012.0,Mumbai,Information Technology,Gaming and entertainment startup,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan",40000000.0,Unstated,2020,Non-tech
1546,Vesta Space Technology,2018.0,Pune,Information Technology,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,,10000000.0,Unstated,2020,Tech
1547,Dozee,2015.0,Bangalore,Information Technology,Dozee offers health and wellness monitoring products.,Gaurav Parchani,,1600000.0,Unstated,2020,Tech
1548,Rebel Foods,2011.0,Pune,Customer Staples,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,50000000.0,Unstated,2020,Non-tech
1549,Nykaa,2012.0,Mumbai,Consumer Discretionary,Cosmetics & beauty products online,Falguni Nayar,Steadview Capital,24700000.0,Unstated,2020,Non-tech
1550,Ketto,2012.0,Mumbai,Financials,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital",7700000.0,Unstated,2020,Non-tech
1551,Suryoday,2008.0,Mumbai,Financials,Banks that extends two distinct fixed deposit schemes,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",800000.0,Unstated,2020,Non-tech
1552,SucSEED,2016.0,Hyderabad,Financials,Venture Partners,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal",1300000.0,Unstated,2020,Non-tech
1553,Unacademy,2015.0,Bangalore,Information Technology,Unacademy is an Indian online education technology company,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital",150000000.0,Unstated,2020,Tech
1554,Strata,2019.0,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore","Propstack, SAIF Partners",19067328.0,Unstated,2020,Non-tech
1555,3one4 Capital,2016.0,Bangalore,Financials,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",,100000000.0,Unstated,2020,Non-tech
1557,Zomato,2008.0,Haryana,Customer Staples,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",62000000.0,Unstated,2020,Non-tech
1559,Gaana,2010.0,Gurugram,Communication Services,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,"Tencent Holdings, Times Internet",51000000.0,Unstated,2020,Non-tech
1560,EM3 Agri,2013.0,Noida,Information Technology,A pioneering organization in the farming-as-a service (FaaS) space,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",1000000.0,Unstated,2020,Tech
1561,Plum,2013.0,Thane,Customer Staples,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,"Ronald Conway, Bay Partners",115000.0,Unstated,2020,Non-tech
1562,Odwen,2018.0,Noida,Information Technology,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,54000.0,Unstated,2020,Non-tech
1563,Fasal,2018.0,Bangalore,Information Technology,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI",20000.0,Unstated,2020,Tech
1565,BankBazaar,2008.0,Chennai,Financials,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",9000000.0,Unstated,2020,Non-tech
1566,Specsmakers,2011.0,Chennai,Materials,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,Eight Roads Ventures,3000000.0,Unstated,2020,Non-tech
1567,Grinntech,2013.0,Dehradun,Information Technology,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan",2000000.0,Unstated,2020,Non-tech
1568,CreditMantri,2012.0,Chennai,Financials,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,Unstated,2020,Non-tech
1569,Chai Waale,2018.0,Chennai,Customer Staples,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,Unstated,2020,Non-tech
1570,Deepsync,2018.0,Bangalore,Information Technology,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000.0,Unstated,2020,Tech
1573,Reliance Retail,2006.0,Mumbai,Consumer Discretionary,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,10220000.0,Unstated,2020,Tech
1574,QShala,2014.0,Bangalore,Information Technology,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",,300000.0,Unstated,2020,Tech
1575,Pitstop,2015.0,Bangalore,Consumer Discretionary,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",1020000.0,Unstated,2020,Non-tech
1576,Zomato,2008.0,Haryana,Customer Staples,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",100000000.0,Unstated,2020,Non-tech
